StringConcat80 Test;;;
Call;;Time (s);Time (microsecond)
1000;8.55E-7;8,55E-7;0,855
2000;0.056621387;0,056621387;56621,387
3000;0.202272679;0,202272679;202272,679
4000;0.354592775;0,354592775;354592,775
5000;0.542030653;0,542030653;542030,653
6000;0.774076721;0,774076721;774076,721
7000;1.121054931;1,121054931;1121054,931
